title	instrument	total.spots	total.bases	submitter	SRA	SRP	tax	tax.name	strategy	is.single	is.paired	SRR	tax.search
GSM3319605: MIT9312_PVC leachate rep3; Prochlorococcus marinus str. MIT 9312; RNA-Seq	NextSeq 500	14579144	1098421686	GEO	SRA753502	SRP156440	74546	Prochlorococcus marinus str. MIT 9312	RNA-Seq	TRUE	FALSE	SRR7647499	1219
GSM3319604: MIT9312_PVC leachate rep2; Prochlorococcus marinus str. MIT 9312; RNA-Seq	NextSeq 500	15126510	1138512850	GEO	SRA753502	SRP156440	74546	Prochlorococcus marinus str. MIT 9312	RNA-Seq	TRUE	FALSE	SRR7647498	1219
GSM3319603: MIT9312_PVC leachate rep1; Prochlorococcus marinus str. MIT 9312; RNA-Seq	NextSeq 500	14765714	1111423853	GEO	SRA753502	SRP156440	74546	Prochlorococcus marinus str. MIT 9312	RNA-Seq	TRUE	FALSE	SRR7647497	1219
GSM3319602: MIT9312_HDPE leachate rep3; Prochlorococcus marinus str. MIT 9312; RNA-Seq	NextSeq 500	15070449	1133154425	GEO	SRA753502	SRP156440	74546	Prochlorococcus marinus str. MIT 9312	RNA-Seq	TRUE	FALSE	SRR7647496	1219
GSM3319601: MIT9312_HDPE leachate rep2; Prochlorococcus marinus str. MIT 9312; RNA-Seq	NextSeq 500	13391146	1007225602	GEO	SRA753502	SRP156440	74546	Prochlorococcus marinus str. MIT 9312	RNA-Seq	TRUE	FALSE	SRR7647495	1219
GSM3319600: MIT9312_HDPE leachate rep1; Prochlorococcus marinus str. MIT 9312; RNA-Seq	NextSeq 500	14943598	1124240995	GEO	SRA753502	SRP156440	74546	Prochlorococcus marinus str. MIT 9312	RNA-Seq	TRUE	FALSE	SRR7647494	1219
GSM3319599: MIT9312_Control rep3; Prochlorococcus marinus str. MIT 9312; RNA-Seq	NextSeq 500	14433350	1085030697	GEO	SRA753502	SRP156440	74546	Prochlorococcus marinus str. MIT 9312	RNA-Seq	TRUE	FALSE	SRR7647493	1219
GSM3319598: MIT9312_Control rep2; Prochlorococcus marinus str. MIT 9312; RNA-Seq	NextSeq 500	14498853	1091234033	GEO	SRA753502	SRP156440	74546	Prochlorococcus marinus str. MIT 9312	RNA-Seq	TRUE	FALSE	SRR7647492	1219
GSM3319597: MIT9312_Control rep1; Prochlorococcus marinus str. MIT 9312; RNA-Seq	NextSeq 500	13643891	1027086826	GEO	SRA753502	SRP156440	74546	Prochlorococcus marinus str. MIT 9312	RNA-Seq	TRUE	FALSE	SRR7647491	1219
GSM3319596: NATL2A_PVC leachate rep3; Prochlorococcus marinus str. NATL2A; RNA-Seq	NextSeq 500	15218589	1144706612	GEO	SRA753502	SRP156440	59920	Prochlorococcus marinus str. NATL2A	RNA-Seq	TRUE	FALSE	SRR7647490	1219
GSM3319595: NATL2A_PVC leachate rep2; Prochlorococcus marinus str. NATL2A; RNA-Seq	NextSeq 500	15179860	1142332328	GEO	SRA753502	SRP156440	59920	Prochlorococcus marinus str. NATL2A	RNA-Seq	TRUE	FALSE	SRR7647489	1219
GSM3319594: NATL2A_PVC leachate rep1; Prochlorococcus marinus str. NATL2A; RNA-Seq	NextSeq 500	14849173	1117636787	GEO	SRA753502	SRP156440	59920	Prochlorococcus marinus str. NATL2A	RNA-Seq	TRUE	FALSE	SRR7647488	1219
GSM3319593: NATL2A_HDPE leachate rep3; Prochlorococcus marinus str. NATL2A; RNA-Seq	NextSeq 500	15103395	1136298134	GEO	SRA753502	SRP156440	59920	Prochlorococcus marinus str. NATL2A	RNA-Seq	TRUE	FALSE	SRR7647487	1219
GSM3319592: NATL2A_HDPE leachate rep2; Prochlorococcus marinus str. NATL2A; RNA-Seq	NextSeq 500	15503192	1165478141	GEO	SRA753502	SRP156440	59920	Prochlorococcus marinus str. NATL2A	RNA-Seq	TRUE	FALSE	SRR7647485	1219
GSM3319591: NATL2A_HDPE leachate rep1; Prochlorococcus marinus str. NATL2A; RNA-Seq	NextSeq 500	16684926	1254348833	GEO	SRA753502	SRP156440	59920	Prochlorococcus marinus str. NATL2A	RNA-Seq	TRUE	FALSE	SRR7647484	1219
GSM3319590: NATL2A_Control rep3; Prochlorococcus marinus str. NATL2A; RNA-Seq	NextSeq 500	15077389	1135075119	GEO	SRA753502	SRP156440	59920	Prochlorococcus marinus str. NATL2A	RNA-Seq	TRUE	FALSE	SRR7647483	1219
GSM3319589: NATL2A_Control rep2; Prochlorococcus marinus str. NATL2A; RNA-Seq	NextSeq 500	16079324	1210112746	GEO	SRA753502	SRP156440	59920	Prochlorococcus marinus str. NATL2A	RNA-Seq	TRUE	FALSE	SRR7647482	1219
GSM3319588: NATL2A_Control rep1; Prochlorococcus marinus str. NATL2A; RNA-Seq	NextSeq 500	15309565	1154120007	GEO	SRA753502	SRP156440	59920	Prochlorococcus marinus str. NATL2A	RNA-Seq	TRUE	FALSE	SRR7647481	1219
GSM2446198: Axenic replicate 3, 13:11 day:night cycle -> extended darkness, Time 144; Prochlorococcus marinus str. NATL2A; RNA-Seq	Illumina HiSeq 2000	7290106	291604240	GEO	SRA520554	SRP096122	59920	Prochlorococcus marinus str. NATL2A	RNA-Seq	TRUE	FALSE	SRR5146559	1219
GSM2446197: Axenic replicate 2, 13:11 day:night cycle -> extended darkness, Time 144; Prochlorococcus marinus str. NATL2A; RNA-Seq	Illumina HiSeq 2000	5501507	220060280	GEO	SRA520554	SRP096122	59920	Prochlorococcus marinus str. NATL2A	RNA-Seq	TRUE	FALSE	SRR5146558	1219
GSM2446196: Axenic replicate 1, 13:11 day:night cycle -> extended darkness, Time 144; Prochlorococcus marinus str. NATL2A; RNA-Seq	Illumina HiSeq 2000	8277088	331083520	GEO	SRA520554	SRP096122	59920	Prochlorococcus marinus str. NATL2A	RNA-Seq	TRUE	FALSE	SRR5146557	1219
GSM2446195: Axenic replicate 3, 13:11 day:night cycle -> extended darkness, Time 96; Prochlorococcus marinus str. NATL2A; RNA-Seq	Illumina HiSeq 2000	4088601	163544040	GEO	SRA520554	SRP096122	59920	Prochlorococcus marinus str. NATL2A	RNA-Seq	TRUE	FALSE	SRR5146556	1219
GSM2446194: Axenic replicate 2, 13:11 day:night cycle -> extended darkness, Time 96; Prochlorococcus marinus str. NATL2A; RNA-Seq	Illumina HiSeq 2000	5330007	213200280	GEO	SRA520554	SRP096122	59920	Prochlorococcus marinus str. NATL2A	RNA-Seq	TRUE	FALSE	SRR5146555	1219
GSM2446193: Axenic replicate 1, 13:11 day:night cycle -> extended darkness, Time 96; Prochlorococcus marinus str. NATL2A; RNA-Seq	Illumina HiSeq 2000	4666827	186673080	GEO	SRA520554	SRP096122	59920	Prochlorococcus marinus str. NATL2A	RNA-Seq	TRUE	FALSE	SRR5146554	1219
GSM2446192: Axenic replicate 3, 13:11 day:night cycle -> extended darkness, Time 72; Prochlorococcus marinus str. NATL2A; RNA-Seq	Illumina HiSeq 2000	5074737	202989480	GEO	SRA520554	SRP096122	59920	Prochlorococcus marinus str. NATL2A	RNA-Seq	TRUE	FALSE	SRR5146553	1219
