tax	no.libs	no.datasets	n	species	order
103690	50	7	36	Nostoc sp. PCC 7120 = FACHB-418	Nostocales
1140	310	13	44	Synechococcus elongatus PCC 7942 = FACHB-805	Synechococcales
1147	11	1	15	Synechocystis sp. PCC 6714	Synechococcales
1148	181	19	13	Synechocystis sp. PCC 6803	Synechococcales
118161	6	1	53	Pleurocapsa sp. PCC 7319	Pleurocapsales
1487953	2	1	29	[Leptolyngbya] sp. JSC-1	unknown
166314	20	1	105	Synechococcus sp. WH 8109	Synechococcales
197221	38	1	11	Thermosynechococcus vestitus BP-1	unknown
203124	42	6	33	Trichodesmium erythraeum IMS101	Oscillatoriales
211165	4	1	103	Chlorogloeopsis fritschii PCC 6912	Nostocales
306281	4	1	108	Fischerella muscicola PCC 7414	Nostocales
313624	15	2	86	Nodularia spumigena CCY9414	Nostocales
32049	69	8	18	Picosynechococcus sp. PCC 7002	Chroococcales
32051	26	2	108	Synechococcus sp. WH 7803	Synechococcales
329726	15	1	30	Acaryochloris marina MBIC11017	unknown
59919	6	4	282	Prochlorococcus marinus subsp. pastoris str. CCMP1986	Synechococcales
59920	85	3	160	Prochlorococcus marinus str. NATL2A	Synechococcales
63737	12	3	105	Nostoc punctiforme PCC 73102	Nostocales
74546	9	1	252	Prochlorococcus marinus str. MIT 9312	NA
84588	21	2	117	Parasynechococcus marenigrum WH 8102	Synechococcales
91464	1	1	16	Synechococcus sp. PCC 7335	Synechococcales
