SRA	SRR	SRP	tax.bio	dir
SRA1156240	SRR13010340	SRP291706	103690.SAMD00061094	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
SRA1156240	SRR13010339	SRP291706	103690.SAMD00061094	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
SRA1156240	SRR13010338	SRP291706	103690.SAMD00061094	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
SRA1156240	SRR13010337	SRP291706	103690.SAMD00061094	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
SRA1156240	SRR13010336	SRP291706	103690.SAMD00061094	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
SRA1156240	SRR13010335	SRP291706	103690.SAMD00061094	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
SRA1156240	SRR13010334	SRP291706	103690.SAMD00061094	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
SRA1156240	SRR13010333	SRP291706	103690.SAMD00061094	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
SRA1156240	SRR13010332	SRP291706	103690.SAMD00061094	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
SRA1156240	SRR13010331	SRP291706	103690.SAMD00061094	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
SRA1156240	SRR13010330	SRP291706	103690.SAMD00061094	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
SRA1156240	SRR13010329	SRP291706	103690.SAMD00061094	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
SRA1156240	SRR13010328	SRP291706	103690.SAMD00061094	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
SRA1156240	SRR13010327	SRP291706	103690.SAMD00061094	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
SRA1156240	SRR13010326	SRP291706	103690.SAMD00061094	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
SRA1156240	SRR13010325	SRP291706	103690.SAMD00061094	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
SRA1156240	SRR13010324	SRP291706	103690.SAMD00061094	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
