sample	before_filtering_total_reads	after_filtering_total_reads	non_rRNA	num_mapped	library_types	genome
batch1_SRR13180889_SRP295478-SRA1166087	16255219	15426107	736083	430522	SR	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
batch1_SRR13180890_SRP295478-SRA1166087	15654785	14856506	1201341	742893	SR	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
batch1_SRR13180891_SRP295478-SRA1166087	15007392	14220598	1639444	1016648	SR	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
batch1_SRR13180892_SRP295478-SRA1166087	16076471	15243680	2032544	1263972	SR	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
batch1_SRR13180893_SRP295478-SRA1166087	16366501	15534052	10762694	6864539	SR	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
batch1_SRR13180894_SRP295478-SRA1166087	16293605	15472757	9106196	5588519	SR	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
batch1_SRR13180895_SRP295478-SRA1166087	16940567	16063668	8886274	5525842	SR	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
batch1_SRR13180896_SRP295478-SRA1166087	16091549	15220565	8941382	5469443	SR	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
batch1_SRR13180897_SRP295478-SRA1166087	16307016	15460056	9981882	6189717	SR	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
batch1_SRR13180898_SRP295478-SRA1166087	16502807	15627656	8377059	5011759	SR	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
batch1_SRR13180900_SRP295478-SRA1166087	15276917	14475127	735278	374095	SR	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
batch1_SRR13180901_SRP295478-SRA1166087	16083999	15213801	498618	250324	SR	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
batch1_SRR13180902_SRP295478-SRA1166087	15285333	14469157	466585	231955	SR	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
batch1_SRR13180903_SRP295478-SRA1166087	14762643	13986345	736980	381687	SR	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
batch1_SRR13180904_SRP295478-SRA1166087	15859636	14994806	848378	444587	SR	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
batch1_SRR1571498_SRP018529-SRA066405	39503192	36550763	26956829	7809663	U	Nodularia.spumigena.CCY9414_txid313624_SAMN01915661_Nostocales
batch1_SRR1572178_SRP018529-SRA066405	38851231	35662159	25107584	7270926	U	Nodularia.spumigena.CCY9414_txid313624_SAMN01915661_Nostocales
batch1_SRR21582751_SRP397527-SRA1499002	8381367	7373588	5986146	3042244	U	Nodularia.spumigena.CCY9414_txid313624_SAMN01915661_Nostocales
batch1_SRR21582752_SRP397527-SRA1499002	8705265	7642810	7002099	3397321	U	Nodularia.spumigena.CCY9414_txid313624_SAMN01915661_Nostocales
batch1_SRR21582753_SRP397527-SRA1499002	8651694	7630527	7056600	3449637	U	Nodularia.spumigena.CCY9414_txid313624_SAMN01915661_Nostocales
batch1_SRR21582754_SRP397527-SRA1499002	9620334	8448928	8160462	5601472	U	Nodularia.spumigena.CCY9414_txid313624_SAMN01915661_Nostocales
batch1_SRR21582755_SRP397527-SRA1499002	11625708	10213938	9823862	6428246	U	Nodularia.spumigena.CCY9414_txid313624_SAMN01915661_Nostocales
batch1_SRR21582756_SRP397527-SRA1499002	10016968	8812029	8289681	4684797	U	Nodularia.spumigena.CCY9414_txid313624_SAMN01915661_Nostocales
batch1_SRR21582757_SRP397527-SRA1499002	6798515	5995498	5689209	3239459	U	Nodularia.spumigena.CCY9414_txid313624_SAMN01915661_Nostocales
batch1_SRR21582758_SRP397527-SRA1499002	11029188	9669206	9344613	6092391	U	Nodularia.spumigena.CCY9414_txid313624_SAMN01915661_Nostocales
batch1_SRR21582759_SRP397527-SRA1499002	11082622	9770032	8873562	4645162	U	Nodularia.spumigena.CCY9414_txid313624_SAMN01915661_Nostocales
batch1_SRR21582760_SRP397527-SRA1499002	10709312	9408908	8654610	4848300	U	Nodularia.spumigena.CCY9414_txid313624_SAMN01915661_Nostocales
