gene	expressed.libs	libs.total	ratio	genome
K00791_upstream.fna.motif.h1_4;pos4526303	2	9	0.2222222222222222	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
K00793_upstream.fna.motif.h1_1;pos1977531	1	9	0.1111111111111111	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
K02014_upstream.fna.motif.h1_4;pos3393825	2	9	0.2222222222222222	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
K02863_upstream.fna.motif.h1_1.h1_3;pos2905757	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
K02906_upstream.fna.motif.h2_2;pos4728994	5	9	0.5555555555555556	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
K02906_upstream.fna.motif.h2_5;pos4728984	3	9	0.3333333333333333	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
K02931_upstream.fna.motif.h1_1;pos4734894	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
K03168_upstream.fna.motif.h2_4;pos2036954	0	9	0	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
K03320_upstream.fna.motif.h1_3;pos3574156	5	9	0.5555555555555556	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
K03320_upstream.fna.motif.h1_3;pos3576089	4	9	0.4444444444444444	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
K03320_upstream.fna.motif.h2_2;pos3574152	5	9	0.5555555555555556	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
K03797_upstream.fna.motif.h2_1;pos4700797	6	9	0.6666666666666666	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
K21903_upstream.fna.motif.h2_1;pos6372619	1	9	0.1111111111111111	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
K04485_upstream.fna.motif.h1_1;pos5727510	0	9	0	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
K04485_upstream.fna.motif.h2_3;pos5727563	2	9	0.2222222222222222	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
K04485_upstream.fna.motif.h1_3;pos5727577	2	9	0.2222222222222222	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
K04485_upstream.fna.motif.h1_4;pos5727629	0	9	0	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
K06891_upstream.fna.motif.h1_3;pos3946019	1	9	0.1111111111111111	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
K07086_upstream.fna.motif.h2_3;pos4197481	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
K07086_upstream.fna.motif.h1_1;pos4197507	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
K09121_upstream.fna.motif.h1_4;pos5200197	1	9	0.1111111111111111	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
K10917_upstream.fna.motif.h1_3;pos2582326	1	9	0.1111111111111111	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
K10917_upstream.fna.motif.h1_3;pos1259988	0	9	0	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
K19166_upstream.fna.motif.h1_4;pos2089482	8	9	0.8888888888888888	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
K19166_upstream.fna.motif.h1_1;pos2089478	8	9	0.8888888888888888	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
K21480_upstream.fna.motif.h1_1;pos443622	0	9	0	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
K01961_downstream.fna.motif.h1_2;pos2109812	8	9	0.8888888888888888	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
