og	min	avg	sd	max
K00003	28.197226502311246	72.93287096598024	9.284690627408438	98.92141756548536
K00008	36.785162287480674	63.79549766634392	16.19628249797441	100
K00010	37.395659432387305	72.38777753863873	6.587733094893349	97.9966611018364
K00012	27.35562310030395	70.58778560032165	17.69575714368174	99.08814589665653
K00016	31.12128146453089	62.06001812409135	13.546803838143939	100
K00024	30.751173708920188	72.24559018262416	8.23258515180498	96.47887323943662
K00027	31.799838579499596	83.23155377811634	13.194413300376635	99.43502824858757
K00031	14.021052631578945	93.68347484903289	7.3642530862305255	99.87368421052632
K00036	22.95597484276729	73.39586512895474	12.383186406787878	99.68553459119497
K00052	12.621359223300976	74.32783792318841	11.686710492628503	100
K00053	17.938931297709924	83.55600483712493	16.832248380605055	100
K00067	35.88741204065676	77.56809478004514	15.039079070585643	99.45269741985928
K00075	25.08833922261484	70.67700704650814	7.782393200384501	99.46996466431095
K00088	13.4453781512605	81.8792761956041	13.951895677035878	99.83193277310924
K00091	30.28764805414551	69.47563034346717	12.336844494523381	98.64636209813875
K00099	37.96296296296296	81.48817381738174	8.064275332902735	99.22839506172839
K00121	17.761557177615572	78.77640404477091	16.461593534835288	99.51338199513383
K00133	16.883116883116877	69.83481568936115	9.662677203534404	99.22077922077922
K00135	35.75221238938053	75.1943055021162	6.372202046680036	98.23008849557522
K00145	19.63882618510158	66.90014110459441	14.556333757094333	99.54853273137697
K00147	19.819819819819816	55.87633987088657	15.17972328964074	99.45945945945947
K00161	44.306049822064054	90.7968268889507	6.981422688428381	99.8220640569395
K00208	25.391849529780565	79.04597765771075	9.071215248852855	100
K00214	44.776119402985074	62.01952347835834	7.144015355738871	97.51243781094527
K00215	48.24561403508771	70.53996101364523	10.790684024260745	99.41520467836258
K00226	48.4375	67.28247549019608	6.892295670565627	97.65625
K00228	34.577603143418465	77.30646992409838	7.280175421334234	99.80353634577604
K00240	36.2043795620438	78.85314171285575	10.205567601930307	99.56204379562044
K00241	17.322834645669293	57.276379184996244	26.512933018201757	99.73753280839895
K00259	22.63279445727483	74.79069225842763	10.377093653885554	98.61431870669746
K00274	37.83587509077705	67.32303545375441	6.693130076063409	100
K00276	40.37940379403794	58.80838048146563	14.174530588522604	95.6639566395664
K00286	28.48837209302325	61.711835137002076	10.245974935032695	97.96511627906976
K00297	35.129310344827594	71.9965239424551	9.248488115403285	99.78448275862068
K00311	20.79343365253078	78.21297429620563	9.90737488450427	97.67441860465115
K00316	51.549942594718715	73.53503188960052	8.25301372525938	98.73708381171068
K00324	17.322834645669293	59.576144564378765	29.365344801123634	100
K00325	44.19410745233969	67.12364546679972	14.40483850937204	99.8266897746967
K00354	33.41404358353511	69.07644413697682	17.26966582771167	98.30508474576271
K00383	23.356401384083046	60.38306250124923	11.817390674640784	99.30795847750865
K00389	15.503875968992254	80.76959542739499	10.70895013283176	99.37984496124031
K00436	14.26116838487973	62.618270557143745	22.968795270366364	100
K00507	38.095238095238095	69.12905631498596	10.765809550974732	100
K00526	31.25845737483085	85.26488861728288	9.586754008297763	99.3234100135318
K00548	19.69292389853138	74.10378947631109	11.944405892858581	99.13217623497998
K00558	39.238952536824875	82.51426923479427	5.701271322093551	99.91816693944354
K00560	21.224489795918366	69.4748587265594	14.892702848933757	91.15646258503402
K00566	40.59701492537313	78.69982185547218	8.663439611694336	99.25373134328358
K00600	60.29106029106028	78.58002143716429	6.6907578114894095	99.7920997920998
K00602	21.777777777777775	69.86614302078219	11.642319069694798	99.70370370370371
K00604	45.979312645979306	93.10229931144964	4.553922079029389	99.53286619953286
K00606	41.194029850746276	69.60365028162659	10.189026903787717	98.2089552238806
K00611	33.24808184143222	70.66447825208076	9.075490149607372	98.9769820971867
K00615	27.042801556420237	68.09181216674627	19.294431912869644	99.70817120622569
K00633	24.7588424437299	48.84798758177182	18.035665553194786	97.42765273311898
K00640	41.060291060291064	84.8197089871435	6.25499311266856	99.68814968814968
K00645	35.62945368171021	69.98377272406576	7.669127709852625	98.33729216152018
